FECHA,IPC
1962,5.708333333333333
1963,8.791666666666666
1964,6.941666666666667
1965,13.325
1966,6.258333333333334
1967,6.391666666666667
1968,4.9750000000000005
1969,2.158333333333333
1970,5.7250000000000005
1971,8.25
1972,8.275
1973,11.375
1974,15.65
1975,17.025000000000002
1976,17.575
1977,24.441666666666663
1978,19.991666666666667
1979,15.683333333333332
1980,15.591666666666669
1981,14.550000000000002
1982,14.425
1983,12.183333333333332
1984,11.308333333333335
1985,8.833333333333334
1986,8.799999999999999
1987,5.266666666666668
1988,4.8500000000000005
1989,6.791666666666667
1990,6.733333333333333
1991,5.941666666666666
1992,5.941666666666666
1993,4.566666666666666
1994,4.724999999999999
1995,4.675
1996,3.566666666666667
1997,1.975
1998,1.841666666666666
1999,2.2916666666666665
2000,3.441666666666667
2001,3.6
2002,3.525
2003,3.033333333333333
2004,3.0250000000000004
2005,3.366666666666667
2006,3.5250000000000004
2007,2.7833333333333337
2008,4.091666666666666
2009,-0.2916666666666667
2010,1.7833333333333334
2011,3.208333333333333
2012,2.45
2013,1.4249999999999998
2014,-0.1416666666666667
2015,-0.5000000000000001
2016,-0.1916666666666665
2017,1.966666666666667
2018,1.6916666666666664
2019,0.6916666666666668
2020,-0.3083333333333333
2021,2.177777777777778
